女巫之心,4,魔法杖,452-475,可可
光辉之泪权杖,3,魔法杖,332-341,无
火翼权杖,3,魔法杖,345-355,无
希望之翼权杖,4,魔法杖,360-378,无
妖蛇权杖,2,魔法杖,280-286,无
萤火虫权杖,2,魔法杖,280-286,无
亚马洛克,5,魔法杖,583-641,瑞皮娜
霜月权杖,4,魔法杖,437-458,无
解放者,5,魔法杖,584-641,未来公主
唤灵权杖,3,魔法杖,338-348,无
丰收权杖,3,魔法杖,341-351,无
冰晶权杖,2,魔法杖,278-283,无
紫晶权杖,2,魔法杖,280-286,无
黑晶权杖,1,魔法杖,250,无
天使之音,5,魔法杖,583-640,偶像伊娃
弥赛亚,5,魔法杖,586-644,维罗妮卡
魔法少女权杖,4,魔法杖,433-454,无
驱寒权杖,3,魔法杖,335-345,无
赫利俄斯,4,魔法杖,458-481,道尔夫
冰霜之眼权杖,3,魔法杖,348-358,无
石像鬼权杖,3,魔法杖,338-348,无
圣十字权杖,1,魔法杖,250,无
妖爪权杖,4,魔法杖,433-454,无
冰霜彗星权杖,3,魔法杖,338-348,无
正义,4,魔法杖,445-467,伊娃
黑蛛权杖,3,魔法杖,328-338,无
绿宝石权杖,4,魔法杖,433-454,无
冰权杖,1,魔法杖,250,无
艾奎诺克斯,5,魔法杖,587-645,卡麦尔
神秘权杖,4,魔法杖,400-420,无
光辉之威权杖,5,魔法杖,583-640,无
秩序权杖,3,魔法杖,338-348,无
娥眉月,4,魔法杖,454-476,卡瑞娜
高雅权杖,3,魔法杖,341-352,无
火影权杖,3,魔法杖,335-345,无
阳光权杖,4,魔法杖,428-449,无
新手权杖,1,魔法杖,250,无
火焰权杖,2,魔法杖,286-292,无
黑龙权杖,4,魔法杖,404-424,无
幻想曲,5,魔法杖,586-643,罗茜
黄色战士的神秘权杖,5,魔法杖,525,无
扭蛋篮子,4,篮子,420-441,无
蛋糕篮子,1,篮子,250,无
健康食品篮子,2,篮子,272-278,无
白龙之巢,5,篮子,551-594,无
莲花篮子,3,篮子,335-345,无
普通篮子,1,篮子,250,无
好奇心终结者,4,篮子,479-503,吉蒙里
仙玉,5,篮子,561-616,奈莉
鲨鱼篮子,3,篮子,341-351,无
圣诞礼物篮子,3,篮子,332-341,无
复活节篮子,2,篮子,278-283,无
火焰孵化篮子,4,篮子,424-445,无
赞美诗,5,篮子,561-616,艾莉诺
炸弹篮子,2,篮子,280-286,无
精灵庇所篮子,4,篮子,416-437,无
烟花篮子,3,篮子,348-359,无
小猫篮子,3,篮子,341-352,无
花鸟风月,5,篮子,562-617,美娅
万圣节篮子,4,篮子,424-437,无
水弹篮子,2,篮子,278-283,无
梅丽尔（专武）,5,篮子,562-617,芭莉
铁包篮子,3,篮子,332-341,无
冰晶篮子,3,篮子,332-341,无
紫魄,5,篮子,562-617,诺克希娅
璀璨宝石篮子,4,篮子,408-432,无
冰霜杰克,4,篮子,439-461,帕比
魔女的铁锅篮子,2,篮子,280-286,无
药品篮子,1,篮子,242,无
藤蔓篮子,3,篮子,332-341,无
艾玛,4,篮子,440-462,罗兰茵
节拍篮子,3,篮子,328-338,无
海洋篮子,4,篮子,424-445,无
鲜花篮子,1,篮子,250,无
疯狂熊猫火箭运载器,4,篮子,432-454,无
奖牌篮子,3,篮子,325-335,无
恐怖篮子,3,篮子,341-351,无
无情,4,突击步枪,461-485,玛丽安
终结者,5,突击步枪,594-653,鲁
疯狂熊猫微型手枪,4,突击步枪,437-459,无
LNW-2000,4,突击步枪,432-453,无
反叛,5,突击步枪,598-656,Mk.2
加特林机枪,3,突击步枪,335-345,无
MM20突击步枪,2,突击步枪,283-289,无
复古步枪,3,突击步枪,341-355,无
无边绝望,5,突击步枪,597-655,阿拉贝尔
蓝玫瑰,4,突击步枪,466-490,瑞秋
魔电步枪,5,突击步枪,584-641,无
幽灵力量克星,3,突击步枪,338-348,无
分子步枪,2,突击步枪,283-289,无
能量步枪,1,突击步枪,258,无
宇宙毁灭者,5,突击步枪,599-658,未来骑士
火铳,1,突击步枪,258,无
